 Relative compactness, Surface area,Wall area, Roof area,Overall height,Glazing area,Glazing dist. N,Glazing distr. E,Glazing distr. S,Glazing distr. W,North,East,South,West,Energy efficiency
0.76,661.5,416.5,122.5,7,0.1,0.15,0.15,0.15,0.55,0,0,0,1,F
0.74,686,245,220.5,3.5,0.1,0.15,0.15,0.15,0.55,1,0,0,0,A
0.74,686,245,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,1,0,0,A
0.74,686,245,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,1,0,A
0.74,686,245,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,0,1,A
0.71,710.5,269.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,1,0,0,0,A
0.71,710.5,269.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,1,0,0,A
0.71,710.5,269.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,1,0,A
0.71,710.5,269.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,0,1,A
0.69,735,294,220.5,3.5,0.1,0.15,0.15,0.15,0.55,1,0,0,0,A
0.69,735,294,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,1,0,0,A
0.69,735,294,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,1,0,A
0.69,735,294,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,0,1,A
0.66,759.5,318.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,1,0,0,0,A
0.66,759.5,318.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,1,0,0,A
0.66,759.5,318.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,1,0,A
0.66,759.5,318.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,0,1,A
0.64,784,343,220.5,3.5,0.1,0.15,0.15,0.15,0.55,1,0,0,0,C
0.64,784,343,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,1,0,0,C
0.64,784,343,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,1,0,C
0.64,784,343,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,0,1,C
0.62,808.5,367.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,1,0,0,0,A
0.62,808.5,367.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,1,0,0,A
0.62,808.5,367.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,1,0,A
0.62,808.5,367.5,220.5,3.5,0.1,0.15,0.15,0.15,0.55,0,0,0,1,A
0.98,514.5,294,110.25,7,0.25,0.25,0.25,0.25,0.25,1,0,0,0,E
0.98,514.5,294,110.25,7,0.25,0.25,0.25,0.25,0.25,0,1,0,0,E
0.98,514.5,294,110.25,7,0.25,0.25,0.25,0.25,0.25,0,0,1,0,E
0.98,514.5,294,110.25,7,0.25,0.25,0.25,0.25,0.25,0,0,0,1,E
0.9,563.5,318.5,122.5,7,0.25,0.25,0.25,0.25,0.25,1,0,0,0,F
0.9,563.5,318.5,122.5,7,0.25,0.25,0.25,0.25,0.25,0,1,0,0,F
0.9,563.5,318.5,122.5,7,0.25,0.25,0.25,0.25,0.25,0,0,1,0,F
0.9,563.5,318.5,122.5,7,0.25,0.25,0.25,0.25,0.25,0,0,0,1,F
0.86,588,294,147,7,0.25,0.25,0.25,0.25,0.25,1,0,0,0,E
0.86,588,294,147,7,0.25,0.25,0.25,0.25,0.25,0,1,0,0,E
0.86,588,294,147,7,0.25,0.25,0.25,0.25,0.25,0,0,1,0,E
0.86,588,294,147,7,0.25,0.25,0.25,0.25,0.25,0,0,0,1,E
0.82,612.5,318.5,147,7,0.25,0.25,0.25,0.25,0.25,1,0,0,0,E
0.82,612.5,318.5,147,7,0.25,0.25,0.25,0.25,0.25,0,1,0,0,D
0.82,612.5,318.5,147,7,0.25,0.25,0.25,0.25,0.25,0,0,1,0,D
0.82,612.5,318.5,147,7,0.25,0.25,0.25,0.25,0.25,0,0,0,1,E
0.79,637,343,147,7,0.25,0.25,0.25,0.25,0.25,1,0,0,0,G
0.79,637,343,147,7,0.25,0.25,0.25,0.25,0.25,0,1,0,0,G
0.79,637,343,147,7,0.25,0.25,0.25,0.25,0.25,0,0,1,0,G
0.79,637,343,147,7,0.25,0.25,0.25,0.25,0.25,0,0,0,1,G
0.76,661.5,416.5,122.5,7,0.25,0.25,0.25,0.25,0.25,1,0,0,0,F
0.76,661.5,416.5,122.5,7,0.25,0.25,0.25,0.25,0.25,0,1,0,0,F
0.76,661.5,416.5,122.5,7,0.25,0.25,0.25,0.25,0.25,0,0,1,0,F
0.76,661.5,416.5,122.5,7,0.25,0.25,0.25,0.25,0.25,0,0,0,1,F
0.74,686,245,220.5,3.5,0.25,0.25,0.25,0.25,0.25,1,0,0,0,A
0.74,686,245,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,1,0,0,A
0.74,686,245,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,1,0,A
0.74,686,245,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,0,1,A
0.71,710.5,269.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,1,0,0,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,1,0,0,B
0.71,710.5,269.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,1,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,0,1,B
0.69,735,294,220.5,3.5,0.25,0.25,0.25,0.25,0.25,1,0,0,0,A
0.69,735,294,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,1,0,0,B
0.69,735,294,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,1,0,B
0.69,735,294,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,0,1,B
0.66,759.5,318.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,1,0,0,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,1,0,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,1,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,0,1,B
0.64,784,343,220.5,3.5,0.25,0.25,0.25,0.25,0.25,1,0,0,0,C
0.64,784,343,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,1,0,0,C
0.64,784,343,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,1,0,C
0.64,784,343,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,0,1,C
0.62,808.5,367.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,1,0,0,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,1,0,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,1,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.25,0.25,0.25,0.25,0,0,0,1,B
0.98,514.5,294,110.25,7,0.25,0.55,0.15,0.15,0.15,1,0,0,0,E
0.98,514.5,294,110.25,7,0.25,0.55,0.15,0.15,0.15,0,1,0,0,E
0.98,514.5,294,110.25,7,0.25,0.55,0.15,0.15,0.15,0,0,1,0,E
0.98,514.5,294,110.25,7,0.25,0.55,0.15,0.15,0.15,0,0,0,1,E
0.9,563.5,318.5,122.5,7,0.25,0.55,0.15,0.15,0.15,1,0,0,0,F
0.9,563.5,318.5,122.5,7,0.25,0.55,0.15,0.15,0.15,0,1,0,0,F
0.9,563.5,318.5,122.5,7,0.25,0.55,0.15,0.15,0.15,0,0,1,0,F
0.9,563.5,318.5,122.5,7,0.25,0.55,0.15,0.15,0.15,0,0,0,1,F
0.86,588,294,147,7,0.25,0.55,0.15,0.15,0.15,1,0,0,0,E
0.86,588,294,147,7,0.25,0.55,0.15,0.15,0.15,0,1,0,0,E
0.86,588,294,147,7,0.25,0.55,0.15,0.15,0.15,0,0,1,0,E
0.86,588,294,147,7,0.25,0.55,0.15,0.15,0.15,0,0,0,1,E
0.82,612.5,318.5,147,7,0.25,0.55,0.15,0.15,0.15,1,0,0,0,D
0.82,612.5,318.5,147,7,0.25,0.55,0.15,0.15,0.15,0,1,0,0,D
0.82,612.5,318.5,147,7,0.25,0.55,0.15,0.15,0.15,0,0,1,0,D
0.82,612.5,318.5,147,7,0.25,0.55,0.15,0.15,0.15,0,0,0,1,D
0.79,637,343,147,7,0.25,0.55,0.15,0.15,0.15,1,0,0,0,G
0.79,637,343,147,7,0.25,0.55,0.15,0.15,0.15,0,1,0,0,G
0.79,637,343,147,7,0.25,0.55,0.15,0.15,0.15,0,0,1,0,G
0.79,637,343,147,7,0.25,0.55,0.15,0.15,0.15,0,0,0,1,G
0.76,661.5,416.5,122.5,7,0.25,0.55,0.15,0.15,0.15,1,0,0,0,F
0.76,661.5,416.5,122.5,7,0.25,0.55,0.15,0.15,0.15,0,1,0,0,F
0.76,661.5,416.5,122.5,7,0.25,0.55,0.15,0.15,0.15,0,0,1,0,F
0.76,661.5,416.5,122.5,7,0.25,0.55,0.15,0.15,0.15,0,0,0,1,F
0.74,686,245,220.5,3.5,0.25,0.55,0.15,0.15,0.15,1,0,0,0,A
0.74,686,245,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,1,0,0,A
0.74,686,245,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,1,0,A
0.74,686,245,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,0,1,A
0.71,710.5,269.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,1,0,0,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,1,0,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,1,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,0,1,A
0.69,735,294,220.5,3.5,0.25,0.55,0.15,0.15,0.15,1,0,0,0,B
0.69,735,294,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,1,0,0,B
0.69,735,294,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,1,0,B
0.69,735,294,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,0,1,B
0.66,759.5,318.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,1,0,0,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,1,0,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,1,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,0,1,B
0.64,784,343,220.5,3.5,0.25,0.55,0.15,0.15,0.15,1,0,0,0,C
0.64,784,343,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,1,0,0,C
0.64,784,343,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,1,0,C
0.64,784,343,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,0,1,C
0.62,808.5,367.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,1,0,0,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,1,0,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,1,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.55,0.15,0.15,0.15,0,0,0,1,B
0.98,514.5,294,110.25,7,0.25,0.15,0.55,0.15,0.15,1,0,0,0,E
0.98,514.5,294,110.25,7,0.25,0.15,0.55,0.15,0.15,0,1,0,0,E
0.98,514.5,294,110.25,7,0.25,0.15,0.55,0.15,0.15,0,0,1,0,E
0.98,514.5,294,110.25,7,0.25,0.15,0.55,0.15,0.15,0,0,0,1,E
0.9,563.5,318.5,122.5,7,0.25,0.15,0.55,0.15,0.15,1,0,0,0,F
0.9,563.5,318.5,122.5,7,0.25,0.15,0.55,0.15,0.15,0,1,0,0,F
0.9,563.5,318.5,122.5,7,0.25,0.15,0.55,0.15,0.15,0,0,1,0,F
0.9,563.5,318.5,122.5,7,0.25,0.15,0.55,0.15,0.15,0,0,0,1,F
0.86,588,294,147,7,0.25,0.15,0.55,0.15,0.15,1,0,0,0,E
0.86,588,294,147,7,0.25,0.15,0.55,0.15,0.15,0,1,0,0,E
0.86,588,294,147,7,0.25,0.15,0.55,0.15,0.15,0,0,1,0,E
0.86,588,294,147,7,0.25,0.15,0.55,0.15,0.15,0,0,0,1,E
0.82,612.5,318.5,147,7,0.25,0.15,0.55,0.15,0.15,1,0,0,0,D
0.82,612.5,318.5,147,7,0.25,0.15,0.55,0.15,0.15,0,1,0,0,D
0.82,612.5,318.5,147,7,0.25,0.15,0.55,0.15,0.15,0,0,1,0,D
0.82,612.5,318.5,147,7,0.25,0.15,0.55,0.15,0.15,0,0,0,1,D
0.79,637,343,147,7,0.25,0.15,0.55,0.15,0.15,1,0,0,0,G
0.79,637,343,147,7,0.25,0.15,0.55,0.15,0.15,0,1,0,0,G
0.79,637,343,147,7,0.25,0.15,0.55,0.15,0.15,0,0,1,0,G
0.79,637,343,147,7,0.25,0.15,0.55,0.15,0.15,0,0,0,1,G
0.76,661.5,416.5,122.5,7,0.25,0.15,0.55,0.15,0.15,1,0,0,0,F
0.76,661.5,416.5,122.5,7,0.25,0.15,0.55,0.15,0.15,0,1,0,0,F
0.76,661.5,416.5,122.5,7,0.25,0.15,0.55,0.15,0.15,0,0,1,0,F
0.76,661.5,416.5,122.5,7,0.25,0.15,0.55,0.15,0.15,0,0,0,1,F
0.74,686,245,220.5,3.5,0.25,0.15,0.55,0.15,0.15,1,0,0,0,A
0.74,686,245,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,1,0,0,A
0.74,686,245,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,1,0,A
0.74,686,245,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,0,1,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,1,0,0,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,1,0,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,1,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,0,1,A
0.69,735,294,220.5,3.5,0.25,0.15,0.55,0.15,0.15,1,0,0,0,A
0.69,735,294,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,1,0,0,A
0.69,735,294,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,1,0,A
0.69,735,294,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,0,1,A
0.66,759.5,318.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,1,0,0,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,1,0,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,1,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,0,1,B
0.64,784,343,220.5,3.5,0.25,0.15,0.55,0.15,0.15,1,0,0,0,C
0.64,784,343,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,1,0,0,C
0.64,784,343,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,1,0,C
0.64,784,343,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,0,1,C
0.62,808.5,367.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,1,0,0,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,1,0,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,1,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.15,0.55,0.15,0.15,0,0,0,1,B
0.98,514.5,294,110.25,7,0.25,0.15,0.15,0.55,0.15,1,0,0,0,E
0.98,514.5,294,110.25,7,0.25,0.15,0.15,0.55,0.15,0,1,0,0,E
0.98,514.5,294,110.25,7,0.25,0.15,0.15,0.55,0.15,0,0,1,0,E
0.98,514.5,294,110.25,7,0.25,0.15,0.15,0.55,0.15,0,0,0,1,E
0.9,563.5,318.5,122.5,7,0.25,0.15,0.15,0.55,0.15,1,0,0,0,F
0.9,563.5,318.5,122.5,7,0.25,0.15,0.15,0.55,0.15,0,1,0,0,F
0.9,563.5,318.5,122.5,7,0.25,0.15,0.15,0.55,0.15,0,0,1,0,F
0.9,563.5,318.5,122.5,7,0.25,0.15,0.15,0.55,0.15,0,0,0,1,F
0.86,588,294,147,7,0.25,0.15,0.15,0.55,0.15,1,0,0,0,E
0.86,588,294,147,7,0.25,0.15,0.15,0.55,0.15,0,1,0,0,E
0.86,588,294,147,7,0.25,0.15,0.15,0.55,0.15,0,0,1,0,E
0.86,588,294,147,7,0.25,0.15,0.15,0.55,0.15,0,0,0,1,E
0.82,612.5,318.5,147,7,0.25,0.15,0.15,0.55,0.15,1,0,0,0,D
0.82,612.5,318.5,147,7,0.25,0.15,0.15,0.55,0.15,0,1,0,0,D
0.82,612.5,318.5,147,7,0.25,0.15,0.15,0.55,0.15,0,0,1,0,D
0.82,612.5,318.5,147,7,0.25,0.15,0.15,0.55,0.15,0,0,0,1,D
0.79,637,343,147,7,0.25,0.15,0.15,0.55,0.15,1,0,0,0,G
0.79,637,343,147,7,0.25,0.15,0.15,0.55,0.15,0,1,0,0,G
0.79,637,343,147,7,0.25,0.15,0.15,0.55,0.15,0,0,1,0,G
0.79,637,343,147,7,0.25,0.15,0.15,0.55,0.15,0,0,0,1,G
0.76,661.5,416.5,122.5,7,0.25,0.15,0.15,0.55,0.15,1,0,0,0,F
0.76,661.5,416.5,122.5,7,0.25,0.15,0.15,0.55,0.15,0,1,0,0,F
0.76,661.5,416.5,122.5,7,0.25,0.15,0.15,0.55,0.15,0,0,1,0,F
0.76,661.5,416.5,122.5,7,0.25,0.15,0.15,0.55,0.15,0,0,0,1,F
0.74,686,245,220.5,3.5,0.25,0.15,0.15,0.55,0.15,1,0,0,0,A
0.74,686,245,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,1,0,0,A
0.74,686,245,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,1,0,A
0.74,686,245,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,0,1,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,1,0,0,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,1,0,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,1,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,0,1,A
0.69,735,294,220.5,3.5,0.25,0.15,0.15,0.55,0.15,1,0,0,0,B
0.69,735,294,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,1,0,0,B
0.69,735,294,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,1,0,B
0.69,735,294,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,0,1,B
0.66,759.5,318.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,1,0,0,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,1,0,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,1,0,B
0.66,759.5,318.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,0,1,B
0.64,784,343,220.5,3.5,0.25,0.15,0.15,0.55,0.15,1,0,0,0,C
0.64,784,343,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,1,0,0,C
0.64,784,343,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,1,0,C
0.64,784,343,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,0,1,C
0.62,808.5,367.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,1,0,0,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,1,0,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,1,0,B
0.62,808.5,367.5,220.5,3.5,0.25,0.15,0.15,0.55,0.15,0,0,0,1,B
0.98,514.5,294,110.25,7,0.25,0.15,0.15,0.15,0.55,1,0,0,0,E
0.98,514.5,294,110.25,7,0.25,0.15,0.15,0.15,0.55,0,1,0,0,E
0.98,514.5,294,110.25,7,0.25,0.15,0.15,0.15,0.55,0,0,1,0,E
0.98,514.5,294,110.25,7,0.25,0.15,0.15,0.15,0.55,0,0,0,1,E
0.9,563.5,318.5,122.5,7,0.25,0.15,0.15,0.15,0.55,1,0,0,0,F
0.9,563.5,318.5,122.5,7,0.25,0.15,0.15,0.15,0.55,0,1,0,0,F
0.9,563.5,318.5,122.5,7,0.25,0.15,0.15,0.15,0.55,0,0,1,0,F
0.9,563.5,318.5,122.5,7,0.25,0.15,0.15,0.15,0.55,0,0,0,1,F
0.86,588,294,147,7,0.25,0.15,0.15,0.15,0.55,1,0,0,0,E
0.86,588,294,147,7,0.25,0.15,0.15,0.15,0.55,0,1,0,0,E
0.86,588,294,147,7,0.25,0.15,0.15,0.15,0.55,0,0,1,0,E
0.86,588,294,147,7,0.25,0.15,0.15,0.15,0.55,0,0,0,1,E
0.82,612.5,318.5,147,7,0.25,0.15,0.15,0.15,0.55,1,0,0,0,D
0.82,612.5,318.5,147,7,0.25,0.15,0.15,0.15,0.55,0,1,0,0,D
0.82,612.5,318.5,147,7,0.25,0.15,0.15,0.15,0.55,0,0,1,0,D
0.82,612.5,318.5,147,7,0.25,0.15,0.15,0.15,0.55,0,0,0,1,D
0.79,637,343,147,7,0.25,0.15,0.15,0.15,0.55,1,0,0,0,G
0.79,637,343,147,7,0.25,0.15,0.15,0.15,0.55,0,1,0,0,G
0.79,637,343,147,7,0.25,0.15,0.15,0.15,0.55,0,0,1,0,G
0.79,637,343,147,7,0.25,0.15,0.15,0.15,0.55,0,0,0,1,G
0.76,661.5,416.5,122.5,7,0.25,0.15,0.15,0.15,0.55,1,0,0,0,F
0.76,661.5,416.5,122.5,7,0.25,0.15,0.15,0.15,0.55,0,1,0,0,F
0.76,661.5,416.5,122.5,7,0.25,0.15,0.15,0.15,0.55,0,0,1,0,F
0.76,661.5,416.5,122.5,7,0.25,0.15,0.15,0.15,0.55,0,0,0,1,F
0.74,686,245,220.5,3.5,0.25,0.15,0.15,0.15,0.55,1,0,0,0,A
0.74,686,245,220.5,3.5,0.25,0.15,0.15,0.15,0.55,0,1,0,0,A
0.74,686,245,220.5,3.5,0.25,0.15,0.15,0.15,0.55,0,0,1,0,A
0.74,686,245,220.5,3.5,0.25,0.15,0.15,0.15,0.55,0,0,0,1,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.15,0.15,0.55,1,0,0,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.15,0.15,0.55,0,1,0,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.15,0.15,0.55,0,0,1,0,A
0.71,710.5,269.5,220.5,3.5,0.25,0.15,0.15,0.15,0.55,0,0,0,1,A
0.69,735,294,220.5,3.5,0.25,0.15,0.15,0.15,0.55,1,0,0,0,A
